name,link_url,image_url,unique_id,manufacturer_id
Dimple Corded,https://rbw.com/products/dimple-corded/s2-aa01-27-cts_120v-ip20,https://rbw.imgix.net/products/dimple-corded/pdp/DP-C_S2_AA01_27_CTS_120V.jpg,DP-C-S2-AA01-27-CTS_120V-IP20,1530
Dimple Flush Mount,https://rbw.com/products/dimple-flush-mount/s3-aa01-27-10_triac_120v-ip20,https://rbw.imgix.net/products/dimple-flush-mount/pdp/DP-FM_S3_AA01_OFF.jpg,DP-FM-S3-AA01-27-10_TRIAC_120V-IP20,1530
Gala 114”,https://rbw.com/products/gala-114/10g-pc30-22-1_triac_120v-cpyb,no image available,GC-114-10G-PC30-22-1_TRIAC_120V-CPYB,1530
Gala 42”,https://rbw.com/products/gala-42/10g-pc30-22-1_triac_120v-cpyb,no image available,GC-42-10G-PC30-22-1_TRIAC_120V-CPYB,1530
Gala 72”,https://rbw.com/products/gala-72/10g-pc30-22-1_triac_120v-cpyb,no image available,GC-72-10G-PC30-22-1_TRIAC_120V-CPYB,1530
Gala Pendant,https://rbw.com/products/gala-pendant/10g-pc30-22-1_triac_120v-cpyb,no image available,GP-10G-PC30-22-1_TRIAC_120V-CPYB,1530
Highline 4' (2 head),https://rbw.com/products/highline-4-2head/2-3-n-27-1_10v_unv,https://rbw.imgix.net/products/highline-4-2head/pdp/HL-42_2_3_N_ON.jpg,HL-42-2-3-N-27-1_10V_UNV,1530
Highline 4' (3 head),https://rbw.com/products/highline-4-3head/3-1-2-n-27-1_10v_unv,https://rbw.imgix.net/products/highline-4-3head/pdp/HL-43_3_1_2_N_ON.jpg,HL-43-3-1-2-N-27-1_10V_UNV,1530
Highline 8' (3 head),https://rbw.com/products/highline-8-3head/2-2-2-n-27-1_10v_unv,https://rbw.imgix.net/products/highline-8-3head/pdp/HL-83_2_2_2_N_ON.jpg,HL-83-2-2-2-N-27-1_10V_UNV,1530
Highline 8' (5 head),https://rbw.com/products/highline-8-5head/3-3-3-3-3-n-27-1_10v_unv,https://rbw.imgix.net/products/highline-8-5head/pdp/HL-85_3_3_3_3_3_N_ON.jpg,HL-85-3-3-3-3-3-N-27-1_10V_UNV,1530
Hoist Flush Mount,https://rbw.com/products/hoist-flush-mount/14-a-pc30-27-10_triac_120v-ip65,no image available,HFM-14-A-PC30-27-10_TRIAC_120V-IP65,1530
Hoist Pendant Plug-in,https://rbw.com/products/hoist-pendant-plug-in/14-b-pc24-pc24-27-10_triac_120v-ip65,https://rbw.imgix.net/products/hoist-pendant-plug-in/pdp/HP-C_14_B_PC24_PC24.jpg,HP-C-14-B-PC24-PC24-27-10_TRIAC_120V-IP65,1530
Hoist Sconce Corded,https://rbw.com/products/hoist-sconce-corded/21-b-pc36-27-cts_120v-ip20,https://rbw.imgix.net/products/hoist-sconce-corded/pdp/HS-C_21_B_PC36_27_CTS_120V.jpg,HS-C-21-B-PC36-27-CTS_120V-IP20,1530
Latis Cross,https://rbw.com/products/latis-cross/44-aa07-dasy-iasy-27-0.1_10v_unv,no image available,LS2-44-AA07-DASY-IASY-27-0.1_10V_UNV,1530
Latis Hex,https://rbw.com/products/latis-hex/888888-pc20-dasy-iasy-27-0.1_10v_unv,no image available,LS6-888888-PC20-DASY-IASY-27-0.1_10V_UNV,1530
Latis Linear,https://rbw.com/products/latis-linear/4-aa01-dasy-iasy-27-0.1_10v_unv,no image available,LS1-4-AA01-DASY-IASY-27-0.1_10V_UNV,1530
Latis Square,https://rbw.com/products/latis-square/44-aa04-dasy-iasy-27-0.1_10v_unv,no image available,LS4-44-AA04-DASY-IASY-27-0.1_10V_UNV,1530
Ledge Round,https://rbw.com/products/ledge-round/pc30-27-10_triac_120v,no image available,LD-R-PC30-27-10_TRIAC_120V,1530
Monocle,https://rbw.com/products/monocle/pc43-27-10_touch_120v,no image available,MNT-PC43-27-10_TOUCH_120V,1530
Mori Flush Mount,https://rbw.com/products/mori-flush-mount/3-27-10_triac_120v,https://rbw.imgix.net/products/mori-flush-mount/pdp/MFM_3_OFF.jpg,MFM-3-27-10_TRIAC_120V,1530
Mori Pendant,https://rbw.com/products/mori-pendant/s-27-10_triac_120v,https://rbw.imgix.net/products/mori-pendant/pdp/MP_S_OFF.jpg,MP-S-27-10_TRIAC_120V,1530
Mori Sconce,https://rbw.com/products/mori-sconce/2-27-10_triac_120v,https://rbw.imgix.net/products/mori-sconce/pdp/MS_2_OFF.jpg,MS-2-27-10_TRIAC_120V,1530
Notch,https://rbw.com/products/notch/pc20-27-10_triac_120v,no image available,RGN-PC20-27-10_TRIAC_120V,1530
Palindrome Multi Finish,https://rbw.com/products/palindrome-multi-finish/6-pc36-pf14-27-1_triac_120v,no image available,PD-MF-6-PC36-PF14-27-1_TRIAC_120V,1530
