name,description,link_url,image_url,unique_id,manufacturer_id
Angelo 36″ Pendant,Spiky Firenze Crystal Sputnik center highlights this modern open orb shape including a simple single jeweled band.,https://www.allegricrystal.com/product/angelo-36-pendant,https://www.allegricrystal.com/wp-content/uploads/2023/01/033652_050_FR001-1-600x600.jpg,033652-050-FR001,1251
Angelo 36″ Pendant,Spiky Firenze crystal sputnik center highlights this modern open orb shape which includes a simple single jewelled band and a Polished Silver finish.,https://www.allegricrystal.com/product/angelo-36-pendant-2,https://www.allegricrystal.com/wp-content/uploads/2023/01/033652_014_FR001-1-600x600.jpg,033652-014-FR001,1251
Apollo 1 Light ADA LED Wall Sconce,"The Apollo Collection features contemporary design, driverless LED technology with hand cut cool clear Crystal Rectangular Blocks.",https://www.allegricrystal.com/product/apollo-1-light-ada-led-wall-sconce,https://www.allegricrystal.com/wp-content/uploads/2023/01/034920_010_FR001-1-600x600.jpg,034920-010-FR001,1251
Apollo 1 Light ADA LED Wall Sconce,"The Apollo Collection features contemporary design, driverless LED technology with hand cut cool clear rectangular crystal rods in a warm Brushed Champagne Gold finish.",https://www.allegricrystal.com/product/apollo-1-light-ada-led-wall-sconce-2,https://www.allegricrystal.com/wp-content/uploads/2023/01/034920_038_FR001-1-600x600.jpg,034920-038-FR001,1251
Apollo 10 Light LED Chandelier,"The Apollo Collection features a contemporary design, and driverless LED technology with hand-cut cool clear crystal rectangular blocks.",https://www.allegricrystal.com/product/apollo-10-light-led-chandelier,https://www.allegricrystal.com/wp-content/uploads/2023/02/034971_038_FR001-1-600x600.jpg,034971-038-FR001,1251
Apollo 10 Light LED Chandelier,"The Apollo Collection features a contemporary design, and driverless LED technology with hand-cut cool clear crystal rectangular blocks.",https://www.allegricrystal.com/product/apollo-10-light-led-chandelier-2,https://www.allegricrystal.com/wp-content/uploads/2023/02/034971_010_FR001-1-600x600.jpg,034971-010-FR001,1251
Apollo 16 Light LED Convergent Chandelier,"The Apollo Collection features a contemporary design, and driverless LED technology with hand-cut cool clear crystal rectangular blocks.",https://www.allegricrystal.com/product/apollo-16-light-led-convergent-chandelier,https://www.allegricrystal.com/wp-content/uploads/2023/02/034970_038_FR001-1-600x600.jpg,034970-038-FR001,1251
Apollo 16 Light LED Convergent Chandelier,The Apollo Collection features a contemporary design and driverless LED technology with hand-cut cool clear crystal rectangular blocks.,https://www.allegricrystal.com/product/apollo-16-light-led-convergent-chandelier-2,https://www.allegricrystal.com/wp-content/uploads/2023/02/034970_010_FR001-1-600x600.jpg,034970-010-FR001,1251
Apollo 16 Light LED Island,"The Apollo Collection features contemporary design, driverless LED technology with hand cut cool clear rectangular crystal rods in a warm Brushed Champagne Gold finish.",https://www.allegricrystal.com/product/apollo-16-light-led-island,https://www.allegricrystal.com/wp-content/uploads/2023/01/034960_038_FR001-1-600x600.jpg,034960-038-FR001,1251
Apollo 16 Light LED Island,"The Apollo Collection features contemporary design, driverless LED technology with hand cut cool clear Crystal Rectangular Blocks.",https://www.allegricrystal.com/product/apollo-16-light-led-island-2,https://www.allegricrystal.com/wp-content/uploads/2023/01/034960_010_FR001-1-600x600.jpg,034960-010-FR001,1251
Apollo 2 Light LED ADA Wall Sconce,"The Apollo Collection features contemporary design, driverless LED technology with hand cut cool clear Crystal Rectangular Blocks.",https://www.allegricrystal.com/product/apollo-2-light-led-ada-wall-sconce,https://www.allegricrystal.com/wp-content/uploads/2023/01/034921_010_FR001-1-600x600.jpg,034921-010-FR001,1251
Apollo 2 Light LED ADA Wall Sconce,"The Apollo Collection features contemporary design, driverless LED technology with hand cut cool clear rectangular crystal rods in a warm Brushed Champagne Gold finish.",https://www.allegricrystal.com/product/apollo-2-light-led-ada-wall-sconce-2,https://www.allegricrystal.com/wp-content/uploads/2023/01/034921_038_FR001-1-600x600.jpg,034921-038-FR001,1251
Apollo 4 Light LED Wall Sconce,"The Apollo Collection features contemporary design, driverless LED technology with hand cut cool clear Crystal Rectangular Blocks.",https://www.allegricrystal.com/product/apollo-4-light-led-wall-sconce,https://www.allegricrystal.com/wp-content/uploads/2023/01/034922_010_FR001-1-600x600.jpg,034922-010-FR001,1251
Apollo 4 Light LED Wall Sconce,"The Apollo Collection features contemporary design, driverless LED technology with hand cut cool clear rectangular crystal rods in a warm Brushed Champagne Gold finish.",https://www.allegricrystal.com/product/apollo-4-light-led-wall-sconce-2,https://www.allegricrystal.com/wp-content/uploads/2023/01/034922_038_FR001-1-600x600.jpg,034922-038-FR001,1251
Apollo 8 Light LED Flush Mount,"The Apollo Collection features contemporary design, driverless LED technology with hand cut cool clear rectangular crystal rods in a warm Brushed Champagne Gold finish.",https://www.allegricrystal.com/product/apollo-8-light-led-flush-mount,https://www.allegricrystal.com/wp-content/uploads/2023/01/034940_038_FR001-1-600x600.jpg,034940-038-FR001,1251
Apollo 8 Light LED Flush Mount,"The Apollo Collection features contemporary design, driverless LED technology with hand cut cool clear Crystal Rectangular Blocks.",https://www.allegricrystal.com/product/apollo-8-light-led-flush-mount-2,https://www.allegricrystal.com/wp-content/uploads/2023/01/034940_010_FR001-1-600x600.jpg,034940-010-FR001,1251
Athena 32″ LED Pendant,Sleek contemporary shapes created by solid hand-cut Firenze crystal rectangular blocks featuring a driverless LED light source.,https://www.allegricrystal.com/product/athena-32-led-pendant,https://www.allegricrystal.com/wp-content/uploads/2023/01/034851_046_FR001-1-600x600.jpg,034851-046-FR001,1251
Athena 32″ LED Pendant,Sleek contemporary shapes created by solid hand-cut Firenze crystal rectangular blocks featuring a driverless LED light source.,https://www.allegricrystal.com/product/athena-32-led-pendant-2,https://www.allegricrystal.com/wp-content/uploads/2023/01/034851_051_FR001-1-600x600.jpg,034851-051-FR001,1251
Athena 40″ LED Bath,Sleek contemporary shapes created by solid hand-cut Firenze crystal rectangular blocks featuring a driverless LED light source.,https://www.allegricrystal.com/product/athena-40-led-bath,https://www.allegricrystal.com/wp-content/uploads/2023/01/034832_046_FR001-1-600x600.jpg,034832-046-FR001,1251
Athena 40″ LED Island,Sleek contemporary shapes created by solid hand-cut Firenze crystal rectangular blocks featuring a driverless LED light source.,https://www.allegricrystal.com/product/athena-40-led-island,https://www.allegricrystal.com/wp-content/uploads/2023/01/034860_051_FR001-1-600x600.jpg,034860-051-FR001,1251
Athena 40″ LED Island,Sleek contemporary shapes created by solid hand-cut Firenze crystal rectangular rods in a simple Polished Nickel finish. Featuring driverless LED’s.,https://www.allegricrystal.com/product/athena-40-led-island-2,https://www.allegricrystal.com/wp-content/uploads/2023/01/034860_046_FR001-1-600x600.jpg,034860-046-FR001,1251
Athena LED Wall Sconce,Sleek contemporary shapes created by solid hand-cut Firenze crystal rectangular blocks featuring a driverless LED light source.,https://www.allegricrystal.com/product/athena-led-wall-sconce,https://www.allegricrystal.com/wp-content/uploads/2023/01/034820_051_FR001-1-600x600.jpg,034820-051-FR001,1251
Athena LED Wall Sconce,Sleek contemporary shapes created by solid hand-cut Firenze crystal rectangular rods in a simple Polished Nickel finish. Featuring driverless LED’s.,https://www.allegricrystal.com/product/athena-led-wall-sconce-2,https://www.allegricrystal.com/wp-content/uploads/2023/01/034820_046_FR001-1-600x600.jpg,034820-046-FR001,1251
Auletta 12 Light Chandelier,The Auletta Collection was inspired by the fixtures found in the foyers of Art Deco Theaters. These geometric shapes are created by layering and draping Prism shaped crystals from a frame finished in Allegri’s exclusive Chrome. These elements come together to create pieces that are sleek and dramatic.,https://www.allegricrystal.com/product/auletta-12-light-chandelier,https://www.allegricrystal.com/wp-content/uploads/2023/03/11425_010_FR001-1-600x600.jpg,11425-010-FR001,1251
Auletta 18 Light Chandelier,The Auletta Collection was inspired by the fixtures found in the foyers of Art Deco Theaters. These geometric shapes are created by layering and draping Prism shaped crystals from a frame finished in Allegri’s exclusive Chrome. These elements come together to create pieces that are sleek and dramatic.,https://www.allegricrystal.com/product/auletta-18-light-chandelier,https://www.allegricrystal.com/wp-content/uploads/2023/03/11424_010_FR001-1-600x600.jpg,11424-010-FR001,1251
Bedetti 12 Light Chandelier,The Bedetti Collection was inspired by the sophisticated apartments on New York City’s Park Avenue. The elegant curves are accentuated with Allegri’s exclusive Tow-tone Silver finish and can be combined with our extensive selection of shades. Bedetti is where the combination of modern and traditional meet with style and panache.,https://www.allegricrystal.com/product/bedetti-12-light-chandelier,https://www.allegricrystal.com/wp-content/uploads/2023/01/023952_017_FR001-1-600x600.jpg,023952-017-FR001,1251
