name,description,link_url,image_url,manufacturer_id
60″W Artesia Flushmount | 82201,"Bring a clean, understated transitional look into a home or business with the Artesia flushmount. This large, elegant shade is handcrafted of a Whitestone Idalight diffuser and complemented with Vintage Copper finished hardware to blend with nearly any interior decor. Handmade by highly skilled artisans in the USA. Ideal for illuminating larger spaces such as foyers and lobbies. Custom styles, sizes and colors available. Dimmable energy efficient lamping options such as LED are available. The 60-inch wide fixture is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-artesia-flushmount-82201/,https://2ndave.com/wp-content/uploads/2022/12/82201.jpg,1261
60″W Barbury 20 LT Chandelier | 133495,"Blending an old-world style with a rustic look. This Barbury chandelier is custom crafted with a dozen Amber Frosted Glass Cylindres on a decorative ring that is hand finished in a Timeless Bronze. This Ring is ideal for illuminating dining areas, conference tables, lobbies and other residential and commercial spaces. The overall height ranges from 78 to 195 inches as the chain length can be easily adjusted in the field to accommodate your specific lighting application needs. Custom crafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Diffuser styles, metal finishes and pendant sizes can be customized. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-barbury-20-lt-chandelier-133495/,https://2ndave.com/wp-content/uploads/2022/12/133495.jpg,1261
60″W Carella 20 LT Three Tier Chandelier | 115722,"Add a touch of elegance and warm ambient lighting to your interiors with this sumptuous decorative lighting design. Carella features a decorative frame and hardware in a Dark Roast finish and is designed to make the perfect centerpiece of any room. Illuminated with 20 Amber faux candlelights, this lovely chandelier is ideal for a lobby, entryway, ballroom and other spaces. Custom crafted by the hands of skilled artisans in our Yorkville, New York manufacturing facility, this Grand styled, 3-tiered fixture is available in custom sizes, styles and colors, with dimmable, energy efficient lamping options. The 60-inch wide chandelier is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-carella-20-lt-three-tier-chandelier-115722/,https://2ndave.com/wp-content/uploads/2022/12/115722.jpg,1261
60″W Carella 20 LT Three Tier Chandelier | 116151,"Add a touch of elegance and warm ambient lighting to your interiors with this sumptuous decorative lighting design. Carella features a decorative frame and hardware in a Dark Roast finish and is designed to make the perfect centerpiece of any room. Illuminated with 20 Amber faux candlelights, this lovely chandelier is ideal for a lobby, entryway, ballroom and other spaces. Custom crafted by the hands of skilled artisans in our Yorkville, New York manufacturing facility, this Grand styled, 3-tiered fixture is available in custom sizes, styles and colors, with dimmable, energy efficient lamping options. The 60-inch wide chandelier is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-carella-20-lt-three-tier-chandelier-116151/,https://2ndave.com/wp-content/uploads/2022/12/116151.jpg,1261
60″W Carousel Pendant | 152511,"A striking transitional styled ceiling fixture for residential, hospitality and commercial applications, the Carousel features a Bottocino Idalight diffuser which is complemented with hardware and decorative accents in a Rusty Nail finish. The pendant will make a design statement in nearly any room throughout your space. Handcrafted in our Yorkville, NY manufacturing facility, Carousel is available in custom sizes, styles, finishes and dimmable energy efficient lamping options such as LED. The fixture is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-carousel-pendant-152511/,https://2ndave.com/wp-content/uploads/2022/12/152511.jpg,1261
60″W Cilindro Flushmount | 137347,"Designed with a sophisticated rotund profile, this versatile, elegant ceiling fixture blends with any decor. This clean architecturally designed shade features White Linen Textrene which is enhanced with a Statuario Idalight bottom diffuser and complemented with a frame and hardware in a handsome Satin Nickel powder coat finish. Handcrafted in our 180,000 square foot manufacturing facility in Yorkville, New York, this transitional styled fixture is available in a wide range of custom choices including various designs, colors, sizes and dimmable energy efficient lamping options. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-cilindro-flushmount-137347/,https://2ndave.com/wp-content/uploads/2022/12/137347.jpg,1261
60″W Cilindro Milwaukee Flushmount | 155395,"Cool, clean and architecturally designed to complement any style of interiors, this Cilindro fixture is designed with Linen fabric, along with a Statuario Idalight diffuser featuring a dynamic geometric design on the bottom with hardware hand finished in Nickel. Custom sizes, styles and colors are available. The fixture is handcrafted in the USA at our manufacturing facility in Yorkville, NY. The ceiling fixture is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-cilindro-milwaukee-flushmount-155395/,https://2ndave.com/wp-content/uploads/2022/12/155395.jpg,1261
60″W Cilindro Textrene Pendant | 140914,"Designed with a curved profile and a clean architectural look, this appealing and versatile ceiling fixture defines a sophisticated aesthetic. This pendant features an Eggshell Textrene shade enhanced with a matching bottom diffuser. The hardware is featured in a Nickel powdercoated finish. Handcrafted by highly skilled artisans in our manufacturing facility in Upstate New York, this transitional styled pendant is available in a wide range of custom choices including various designs, colors, sizes and dimmable energy efficient lamping options such as LED. This fixture is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-cilindro-textrene-pendant-140914/,https://2ndave.com/wp-content/uploads/2022/12/140914.jpg,1261
60″W Cilindro Vinyl Flushmount | 142698,"This sleek architectural ceiling fixture features a curvaceous Black Vinyl with a Statuario Idalight bottom diffuser. The fixture illuminates with 10 customer-supplied compact fluorescent lamps. Handcrafted by highly skilled artisans in our manufacturing facility in Upstate New York, this transitional styled fixture is available in a wide range of custom choices including various designs, colors, sizes and dimmable energy efficient lamping options such as LED. The fixture is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/60w-cilindro-vinyl-flushmount-142698/,https://2ndave.com/wp-content/uploads/2022/12/142698.jpg,1261
60″W Commerce Flushmount | 145837,"Bring a stunning look into your home or commercial space with Commerce. This fixture is designed with a cool Whitestone Idalight, which is enhanced with a Brown Metallic finished hardware. The flushmount is perfect for ambient illumination in living rooms, lobbies, conference rooms and other settings. Handmade in the USA, custom styles, sizes and designs are available, as well as energy efficient lamping options offered.",https://2ndave.com/product/60w-commerce-flushmount-145837/,https://2ndave.com/wp-content/uploads/2022/12/145837.jpg,1261
60″W Commerce Inverted Pendant | 163033,"Bring a stunning look into your home or commercial space with this Opal Satine inverted pendant. This handsome fixture is designed with Statuario Idalight, which is enhanced with Oil Rubbed Bronze finished decorative border and matching hardware. The pendant is perfect for ambient illumination in living rooms, lobbies, conference rooms and other settings. Handmade in the USA, custom styles, sizes and designs are available, as well as dimmable energy efficient lamping options such as LED are offered. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-commerce-inverted-pendant-163033/,https://2ndave.com/wp-content/uploads/2022/12/163033.jpg,1261
60″W Costello 16 LT Chandelier | 130021,"Hand hammered Copper belts finished with an Antique patina embellish the HandForged Iron ring of this breathtaking Costello 16 Light Chandelier. The fixture features hardware finished in Costello Black. Sixteen Amber faux candlelights, supported by bobeches attached to gracefully curved arms, provide decorative lighting for a broad range of applications. Handmade by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Custom options available. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/60w-costello-16-lt-chandelier-130021/,https://2ndave.com/wp-content/uploads/2022/12/130021.jpg,1261
