name,description,link_url,image_url,manufacturer_id
5″W Bell Wall Sconce | 155226,"An exquisite wall sconce combines rustic sophistication with a Gothic look. An inverted Frosted Glass Bell Shade is perched on a bobeche, which is embraced by curved arms with metal coil-like accents and hardware featured in an Ash finish. Handcrafted in our facility in Yorkville, New York, this fixture is available in custom sizes, styles, colors and dimmable energy efficient lamping options such as LED. The wall fixture is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/5w-bell-wall-sconce-155226-2/,https://2ndave.com/wp-content/uploads/2022/12/155226.jpg,1261
5″W Benchmark Wall Sconce | 177076,"A modern look for today’s interiors, the bold geometric lighting design combines a Matte Statuario Idalight block styled diffuser embraced by a backplate featured in a Satin Nickel finish. Ideal for hallways, foyers, bedrooms and other interior rooms. Custom made by highly skilled artisans in the USA at our manufacturing facilities. Custom sizes, styles, finishes and dimmable energy efficient lamping options are available such as LED. This fixture is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/5w-benchmark-wall-sconce-177076/,https://2ndave.com/wp-content/uploads/2022/12/177076.jpg,1261
5″W Bordeaux Wall Sconce | 116989,"Offering luxurious charm and elegance, Bordeaux features a single light with a Hand-forged Iron arm in a stunning Blackwash finish. The Amber faux candlelights perched on a bobeche embraced by a scrolled arm and round backplate. Custom crafted in the USA, this exquisite sconce is available in custom sizes, styles and colors, as well as dimmable energy efficient lamping options. This 12-inch tall wall fixture is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/5w-bordeaux-wall-sconce-116989/,https://2ndave.com/wp-content/uploads/2022/12/116989.jpg,1261
5″W Bordeaux Wall Sconce | 155857,"Offering a luxurious charm and elegance. Bordeaux features an Ivory faux candlelight perched on a bobeche embraced by a Hand-Forged Iron scrolled arm. The fixture features metal leaf accents in a stunning Gilded Tobacco finish. Handcrafted by master artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Candlelight colors, metal finishes and sizes can be customized to meet your needs. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/5w-bordeaux-wall-sconce-155857/,https://2ndave.com/wp-content/uploads/2022/12/155857.jpg,1261
5″W Bordeaux Wall Sconce | 167907,"Offering luxurious charm and elegance, Bordeaux features a single light with a steel arm in a stunning Iron Ore finish, complemented with matching leaves, scroll design and a graceful faux Amber candlelight. The candlelight is perched on a bobeche attached to the gracefully designed arm and round backplate. Custom crafted in the USA, this sconce is available in custom sizes, styles and colors, as well as dimmable energy efficient lamping options. This wall fixture is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/5w-bordeaux-wall-sconce-167907/,https://2ndave.com/wp-content/uploads/2022/12/167907.jpg,1261
5″W Cilindro Wall Sconce | 146106,no description available.,https://2ndave.com/product/5w-cilindro-wall-sconce-146106/,https://2ndave.com/wp-content/uploads/2022/12/146106.jpg,1261
5″W Classic Wall Sconce | 158875,"Rustic minimalism blends with exquisite revivalism. A mellow glow is cast from this single faux candlelight which adorns a bobeche, curved arm and hardware featured in a Chestnut finish. The fixture is handcrafted by master artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Custom designs, styles, sizes and dimmable energy efficient lamping such as LEDs are available. This sconce is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/5w-classic-wall-sconce-158875/,https://2ndave.com/wp-content/uploads/2022/12/158875.jpg,1261
5″W Esther Wall Sconce | 158230,no description available.,https://2ndave.com/product/5w-esther-wall-sconce-158230-2/,https://2ndave.com/wp-content/uploads/2022/12/158230.jpg,1261
5″W Fernando 1 LT Wall Sconce | 149626,"Beauty and grace come to light with this elegant wall fixture design. The faux candlelight sits on a bobeche featured in a tasteful Coffee Bean finish. Perfect to illuminate fine homes, inns, restaurants and other spaces. This old world decorative lighting fixture complements any interior design. Handcrafted in ‘s manufacturing facilities in the USA.",https://2ndave.com/product/5w-fernando-1-lt-wall-sconce-149626/,https://2ndave.com/wp-content/uploads/2022/12/149626.jpg,1261
5″W Josephine W/Fabric Shade Wall Sconce | 149235,"Offering a luxurious charm and elegance, Josephine features an elaborate design with Hand-Forged Iron scrollwork and accents in a stunning Gilded Tobacco finish. The exquisite sconce reveals a single Amber faux candlelight crowned with a Cream Textrene shade and perched on a bobeche. The wall fixture is adorned with metal acanthus leaves. Custom crafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Custom sizes, shade colors and metal finishes available. UL and cUL listed for dry and damp locations however we do not recommend installing it in spaces that experience a large amount of moisture due to the fabric shade.",https://2ndave.com/product/5w-josephine-w-fabric-shade-wall-sconce-149235/,https://2ndave.com/wp-content/uploads/2022/12/149235.jpg,1261
5″W Loxley Wall Sconce | 152058,"Replicating an old world wall fixture of yore, Loxley was custom crafted with an Amber faux candle covered luminaire on a bobeche hand finished in an Oil Rubbed Bronze. Custom crafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York, in the USA. Options include dimmable energy efficient lamping such as LED, as well as custom sizes, styles and colors. UL and cUL listed for damp and dry locations.",https://2ndave.com/product/5w-loxley-wall-sconce-152058/,https://2ndave.com/wp-content/uploads/2022/12/152058.jpg,1261
5″W Loxley Wall Sconce | 189000,"Blending an elegant style with a classic distinguished look, Loxley is custom crafted with a Frosted Glass Cylindre perched on a bobeche, which is featured in an Oil Rubbed Bronze finish. The wall sconce is ideal for illuminating corridors, entryways and other residential and commercial spaces. The fixture is handcrafted by highly skilled artisans in the USA, in our manufacturing facility in Yorkville, New York. Custom colors, styles and sizes are available, as well as dimmable energy efficient lamping options such as LED. The fixture is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/5w-loxley-wall-sconce-189000/,https://2ndave.com/wp-content/uploads/2023/04/189000.jpg,1261
5″W Paille Wall Sconce | 170895,"Strike a chord with this sophisticated transitional lighting scheme with the Paille Wall Sconce featuring Champagne Gold colored glass held within an intricate barred frame finished in a rich Cimarron hue. This luminaire reveals an updated look at an Art Deco design inspired by musical scores from classic films. The architectural linear structural hardware displays a harmonious blend of beautiful ambient light and a clean form to provide a warm welcome in corridors and other rooms in any setting. Integral LEDs deliver quality ambient illumination, energy savings, reduced maintenance and long lamp life. Custom crafted in the USA, this fixture is available in custom colors, finishes and sizes, as well as dimmable energy efficient lamping options. The wall fixture is UL listed for damp and dry locations.",https://2ndave.com/product/5w-paille-wall-sconce-170895/,https://2ndave.com/wp-content/uploads/2022/12/170895X10-1.jpg,1261
5″W Piero Wall Sconce | 153387,"Exquisite minimalism blends with stunning Gothic Revivalism. This single Ivory faux candlelight is perched on a bobeche embraced by a Hand-Forged Iron Scrolled arm in a Gilded Tobacco finish. Custom crafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, New York. Candlelight colors, metal finishes and fixture sizes can be customized. UL and cUL listed for dry and damp locations.",https://2ndave.com/product/5w-piero-wall-sconce-153387/,https://2ndave.com/wp-content/uploads/2022/12/153387.jpg,1261
5″W Piero Wall Sconce | 174351,"Exquisite minimalism blends with stunning revivalism. This single faux candlelight is perched on a bobeche embraced by a scroll arm and decorative hardware featured in an alluring Smoke finish. Our fixtures are offered with multiple candlelights as well, and in a variety of finishes, styles, sizes and dimmable energy efficient lamping options. Custom crafted in the USA, this fixture is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/5w-piero-wall-sconce-174351/,https://2ndave.com/wp-content/uploads/2022/12/174351.jpg,1261
5″W Piero Wall Sconce | 196447,"Exquisite minimalism blends with stunning Gothic Revivalism. This single Amber faux candlelight is perched on a bobeche embraced by a scroll arm and decorative hardware featured in a Black Cracked Ice finish with Antiquity Highlights. The fixture is offered with multiple candlelights as well and in a variety of finishes, styles, sizes and dimmable energy efficient lamping options such as LED. Custom crafted by highly skilled artisans in the USA, this 5-inch wide fixture is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/5w-piero-wall-sconce-196447/,https://2ndave.com/wp-content/uploads/2022/12/196447.jpg,1261
5″W Quadrato Vicio Wall Sconce | 181609,"Rendering a mesmerizing architectural look, this stunning lighting design features Creme Carrere Idalight which delivers beautiful ambient light. The gorgeous diffuser is embraced with a bookend styled frame featured in a Gold Metallic finish. Wall sconce artistry is created by the hands of highly skilled artisans at our 180,000 square foot manufacturing facility in Yorkville, New York. Custom colors, styles and sizes are available, as well as dimmable energy efficient lamping options such as LED. The 9.5-inch tall ADA compliant wall luminaire is UL and cUL listed for damp and dry locations.",https://2ndave.com/product/5w-quadrato-vicio-wall-sconce-181609-2/,https://2ndave.com/wp-content/uploads/2022/12/181609.jpg,1261
5″W Saybrook Wall Sconce | 129752,no description available.,https://2ndave.com/product/5w-saybrook-wall-sconce-129752/,https://2ndave.com/wp-content/uploads/2022/12/129752.jpg,1261
5″W Toscano 1 Light Wall Sconce | 115311,"Gothic never looked so good with this handsome wall fixture design that combines inspirational and historical influences. Its simulated dripping wax faux candlelight shines brightly on a Pompeii Gold finished backplate and hardware. Handcrafted by highly skilled artisans in our 180,000 square foot manufacturing facility in Yorkville, NY. Custom sizes, designs, and finishes are available, as well as dimmable energy efficient lamping options. The 5-inch wide sconce is UL and cUL listed for dry and damp locations.",https://2ndave.com/product/5w-toscano-1-light-wall-sconce-115311/,https://2ndave.com/wp-content/uploads/2022/12/115311.jpg,1261
